,freq,ngrams
0,7162491,ie
1,4558044,ni
2,2444931,sz
3,2247155,st
4,2164133,wi
5,2157143,na
6,2020764,je
7,2002589,dz
8,2002324,ze
9,1987683,cz
10,1971039,rz
11,1949476,po
12,1793704,ci
13,1776528,zy
14,1755543,ta
15,1744502,ię
16,1725690,pr
17,1695175,es
18,1691792,to
19,1684695,zi
20,1659442,ch
21,1649833,za
22,1612629,ra
23,1471361,si
24,1470376,em
25,1415145,am
26,1357531,ro
27,1337623,ał
28,1303714,ow
29,1292750,ia
30,1266036,ak
31,1264325,mi
32,1254372,te
33,1238523,do
34,1182688,an
35,1165597,ko
36,1128234,go
37,1108947,wa
38,1075728,od
39,1073169,ob
40,1024010,że
41,1009557,ła
42,1005747,le
43,990334,ma
44,990324,ja
45,921643,ki
46,909154,mo
47,907462,as
48,907436,ej
49,906752,my
50,899819,li
51,887784,by
52,871026,al
53,869646,ac
54,865695,ka
55,859934,er
56,849205,bi
57,839129,ty
58,828278,eg
59,822474,aj
60,788969,os
61,773198,wy
62,772413,ar
63,759181,ed
64,751042,on
65,750413,en
66,738549,co
67,732473,aw
68,722970,pa
69,671337,tr
70,666938,eś
71,660267,łe
72,648601,da
73,648252,ym
74,632089,ło
75,630857,ad
76,614788,ec
77,593291,wo
78,585615,la
79,574422,ne
80,566176,pi
81,549553,at
82,542898,ny
83,540021,or
84,538802,ys
85,531357,no
86,525915,ać
87,505966,ic
88,493756,zn
89,488080,oj
90,487717,ek
91,483797,oc
92,473508,sp
93,472149,in
94,463174,is
95,457480,yc
96,456068,mu
97,455735,oś
98,449715,ów
99,446804,br
100,445297,ku
101,440900,ił
102,438106,ba
103,435548,ce
104,432967,dy
105,428446,uj
106,427329,az
107,426889,ot
108,425851,ył
109,419769,tu
110,418037,ws
111,416984,om
112,406901,zo
113,404468,mn
114,388581,ok
115,388071,im
116,386085,oż
117,383237,ol
118,380504,us
119,380064,tw
120,379712,kt
121,373918,el
122,367587,ją
123,367212,sk
124,366025,og
125,363392,ry
126,359202,zę
127,352722,eb
128,348408,śl
129,347123,re
130,344469,oz
131,327841,śc
132,325557,dn
133,321295,tk
134,321208,ić
135,320355,ho
136,317190,mó
137,304539,bo
138,301575,ąd
139,295729,ęd
140,294957,ią
141,293781,yś
142,290948,we
143,288729,hc
144,284454,ap
145,280743,ję
146,278214,zu
147,276842,ew
148,272065,de
149,271777,op
150,266498,ab
151,265309,et
152,263124,ły
153,262446,uc
154,260517,sa
155,258700,ca
156,257950,ęc
157,256255,ró
158,252250,ha
159,251915,ez
160,250526,sł
161,249650,ży
162,246891,wn
163,246854,yl
164,246595,iś
165,246420,yn
166,246282,lu
167,245970,dl
168,243896,aż
169,243572,kr
170,243311,ść
171,237966,lk
172,237739,gd
173,237686,cy
174,237394,il
175,235146,yć
176,234843,śm
177,231533,ór
178,231068,zw
179,230297,ep
180,228686,zc
181,227832,bę
182,224263,id
183,224195,io
184,223886,uż
185,223371,ud
186,221047,ój
187,215842,łu
188,213479,yw
189,211600,yj
190,210283,tó
191,206480,ga
192,206433,ną
193,204917,ru
194,204652,pe
195,201353,zą
196,201312,cj
197,197851,um
198,194179,ut
199,194134,so
200,193333,ąc
201,191764,ju
202,191303,aś
203,191178,zł
204,191145,zr
205,190027,nt
206,187872,wd
207,187523,ik
208,186255,gł
209,184789,yb
210,183515,dr
211,182584,ur
212,177549,rd
213,176261,ln
214,174404,gr
215,173045,iw
216,171347,dę
217,169304,yk
218,168800,ęk
219,166894,eż
220,164935,yt
221,163539,zk
222,162410,lo
223,162370,du
224,160214,zm
225,159018,dź
226,156320,eć
227,155526,tn
228,153382,nn
229,149875,ża
230,147614,rw
231,142954,bu
232,141412,se
233,140050,me
234,137941,wc
235,136243,up
236,135594,rt
237,133785,zd
238,132819,su
239,132179,dk
240,131731,dł
241,129356,pó
242,129229,be
243,129084,są
244,127369,sy
245,127131,wr
246,125256,św
247,124439,ag
248,123589,gi
249,122944,nk
250,122912,iu
251,120447,oi
252,119894,uk
253,119877,wł
254,119355,ij
255,118169,yg
256,118048,ką
257,115244,gl
258,114306,sc
259,114277,gę
260,113469,nu
261,111414,tę
262,111276,pu
263,108061,oł
264,108011,ub
265,107513,kł
266,106991,cę
267,106873,wó
268,106726,kę
269,106578,żn
270,105876,śn
271,105083,it
272,103715,fi
273,102917,rę
274,102602,js
275,102271,nę
276,101309,jc
277,100438,ęt
278,99007,ńc
279,98874,sw
280,98653,dw
281,98347,jd
282,97758,yd
283,96514,oń
284,96403,fa
285,96041,yp
286,94960,un
287,94649,ób
288,93176,kn
289,92696,rc
290,90504,ks
291,89920,ig
292,89329,óc
293,88034,eń
294,86938,he
295,85740,bl
296,85597,ań
297,84128,cu
298,84042,lą
299,83049,jn
300,82913,tą
301,81981,kó
302,81694,ri
303,81415,uw
304,80850,ug
305,80439,rk
306,80325,lę
307,78990,zg
308,77776,óż
309,75458,pl
310,75173,żo
311,74720,kl
312,74194,zb
313,73908,gn
314,73499,jm
315,73346,łb
316,71451,bą
317,70680,ji
318,69402,pł
319,69359,ps
320,69336,sn
321,68644,py
322,68271,rn
323,66708,au
324,64966,hy
325,64854,nd
326,64465,wk
327,64379,ns
328,63778,łą
329,63640,ul
330,63441,zp
331,61170,rs
332,61112,zt
333,60286,ół
334,60265,rm
335,58352,ól
336,58257,eź
337,57229,có
338,56961,ąć
339,56604,ńs
340,56321,ąt
341,56267,yz
342,56150,fo
343,56000,iz
344,55374,ęż
345,55071,żd
346,54933,łk
347,54770,dp
348,54397,nc
349,54323,gó
350,54142,ck
351,53103,źn
352,53080,iż
353,52781,ąg
354,52331,jś
355,52086,ód
356,51947,mę
357,51891,gu
358,51405,eł
359,51080,rą
360,50992,ąż
361,49272,dc
362,48395,hw
363,48100,mp
364,47961,hę
365,47903,zj
366,47050,łó
367,46935,hł
368,46822,ir
369,46705,di
370,45754,of
371,45735,lb
372,45694,jr
373,45562,óg
374,45381,dą
375,44934,ęś
376,44781,łn
377,44332,ął
378,44129,wu
379,43060,wę
380,42968,ge
381,42850,uś
382,42277,ęp
383,42045,wą
384,41467,hi
385,41400,jo
386,41061,wz
387,40605,af
388,40563,uz
389,40243,ef
390,39552,cą
391,39414,kc
392,38142,bó
393,37562,yr
394,36874,wt
395,36409,dd
396,36392,żk
397,36147,só
398,36089,ds
399,35674,pn
400,35628,mk
401,34920,bn
402,34745,pc
403,34454,ng
404,34333,bł
405,33837,nó
406,33682,uł
407,33612,fe
408,33206,óź
409,33020,bc
410,32580,ęł
411,31961,lc
412,31221,hu
413,31023,bk
414,30965,ii
415,30522,wp
416,29812,ió
417,28567,lw
418,28304,źl
419,27644,śr
420,27465,ąz
421,27158,sm
422,26753,źm
423,26283,ib
424,25491,pę
425,25420,jl
426,24802,ęs
427,24365,ea
428,24305,tł
429,24153,fr
430,23585,zl
431,23459,rb
432,23438,hr
433,23245,mą
434,22984,cn
435,22901,gą
436,22290,kw
437,22232,rg
438,22084,dj
439,21931,db
440,21824,yż
441,21657,ęg
442,21562,bs
443,21525,hn
444,21361,śp
445,21253,żl
446,20924,ęć
447,20867,dó
448,20323,ll
449,20205,hó
450,19997,żc
451,19823,sj
452,19768,ua
453,19487,sę
454,19287,kb
455,19205,mł
456,19158,jk
457,18512,źc
458,18375,uf
459,18268,mś
460,18267,źć
461,18132,lm
462,18125,łę
463,18120,dż
464,18066,ke
465,18059,ęz
466,17730,zó
467,17458,jw
468,17442,rł
469,17423,rp
470,17383,mb
471,17333,mr
472,17243,ti
473,17153,ai
474,16673,gw
475,16307,pt
476,16269,aź
477,15850,nf
478,15708,żę
479,15659,ęb
480,15545,ip
481,15337,pk
482,15269,fu
483,15132,ót
484,15007,hm
485,14698,eu
486,14616,żą
487,14413,tc
488,14305,dm
489,13723,eo
490,13368,ls
491,13270,mt
492,13223,jp
493,12936,żu
494,12744,rż
495,12326,óz
496,12234,ók
497,12217,yf
498,11724,żs
499,11718,ąp
500,11620,ęl
501,11608,uć
502,11428,yo
503,10799,ós
504,10734,ee
505,10306,kż
506,10278,ąś
507,10252,aa
508,10156,rl
509,10070,th
510,9739,oh
511,9665,ms
512,9631,tl
513,9573,rć
514,9283,oo
515,9205,zs
516,9166,ąs
517,9098,jb
518,8156,fl
519,7873,lt
520,7764,ao
521,7734,łc
522,7721,rr
523,7684,oć
524,7620,ct
525,7428,iń
526,7337,ei
527,7067,źd
528,7059,wś
529,6604,łt
530,6472,ay
531,6367,żb
532,6342,tp
533,6330,źw
534,6204,łż
535,6114,ou
536,6083,łp
537,6008,jg
538,5941,ss
539,5624,mm
540,5608,mc
541,5456,ćm
542,5208,ah
543,5156,sh
544,5154,ćw
545,5148,nr
546,5127,óć
547,5118,bz
548,5092,łm
549,4949,sf
550,4934,oa
551,4780,kk
552,4746,sr
553,4691,fn
554,4632,hl
555,4520,ąk
556,4389,dt
557,4244,dg
558,4191,lf
559,4189,wb
560,4101,ml
561,4093,uń
562,4026,nw
563,4025,ąb
564,3886,ex
565,3882,jó
566,3805,wl
567,3782,ld
568,3760,zz
569,3752,ax
570,3693,yź
571,3684,rś
572,3667,uo
573,3634,gz
574,3626,żó
575,3620,bm
576,3576,tm
577,3461,łs
578,3383,ćc
579,3300,va
580,3275,if
581,3256,pą
582,3178,wm
583,3177,ló
584,3166,bb
585,3145,źr
586,3058,lg
587,3046,oź
588,3007,ve
589,2988,hś
590,2938,rf
591,2901,yń
592,2896,ęź
593,2766,ht
594,2720,ue
595,2714,ts
596,2584,nż
597,2547,ey
598,2481,fy
599,2481,bj
600,2440,ui
601,2325,gh
602,2303,wh
603,2277,bw
604,2276,ov
605,2251,nz
606,2249,oe
607,2247,tt
608,2228,jt
609,2201,vi
610,2146,uu
611,2094,łz
612,2029,km
613,1993,ńk
614,1918,gm
615,1875,tf
616,1874,cm
617,1860,yi
618,1834,óp
619,1825,md
620,1808,iź
621,1805,uź
622,1786,ćp
623,1773,sl
624,1738,cl
625,1718,eh
626,1691,vo
627,1679,ya
628,1668,qu
629,1651,mf
630,1633,tv
631,1629,łg
632,1580,śb
633,1572,pp
634,1527,oy
635,1524,dś
636,1505,żm
637,1435,tb
638,1429,jf
639,1413,mg
640,1378,łw
641,1357,źb
642,1355,ye
643,1328,sb
644,1314,ńm
645,1292,ww
646,1292,łd
647,1289,cr
648,1177,ky
649,1174,ćd
650,1172,ćb
651,1135,lż
652,1114,wj
653,1077,ff
654,1061,ft
655,1043,gs
656,1027,bd
657,1008,ly
658,1001,źg
659,999,fę
660,997,lś
661,962,źń
662,951,jz
663,942,kp
664,924,cw
665,921,iv
666,887,gt
667,849,ae
668,836,żi
669,831,łl
670,826,ńb
671,826,fk
672,788,lp
673,762,ox
674,757,wg
675,750,uh
676,739,ih
677,681,nj
678,674,xi
679,661,hą
680,658,żr
681,650,śk
682,641,kg
683,614,łr
684,602,cc
685,590,xy
686,581,tz
687,577,av
688,559,zś
689,543,żw
690,534,np
691,532,pm
692,530,fó
693,523,śń
694,503,mw
695,493,ux
696,482,jł
697,462,fc
698,454,yu
699,448,fą
700,446,yh
701,411,bt
702,404,eq
703,396,zh
704,360,ąw
705,344,td
706,339,zż
707,322,tg
708,313,ev
709,311,ęw
710,296,cd
711,283,bg
712,277,śt
713,276,xe
714,276,dh
715,274,źk
716,271,nh
717,271,sd
718,254,bf
719,243,hk
720,234,gg
721,231,ćs
722,227,gb
723,223,xa
724,220,xt
725,216,xp
726,209,mż
727,208,żł
728,200,lv
729,197,xu
730,189,jż
731,186,lz
732,183,óm
733,176,vy
734,174,nl
735,169,sg
736,165,kh
737,155,kś
738,143,mh
739,140,hs
740,137,fm
741,137,vu
742,133,ph
743,133,cs
744,131,sq
745,129,aq
746,125,xw
747,123,rń
748,122,jj
749,119,vr
750,117,bż
751,116,xf
752,113,ąź
753,109,eę
754,100,bś
755,99,ix
756,95,fs
757,92,kj
758,89,ću
759,85,pf
760,84,źż
761,84,łf
762,80,rh
763,79,eą
764,74,cp
765,72,eó
766,71,wf
767,68,hj
768,66,łś
769,65,nb
770,64,óś
771,63,łć
772,62,xx
773,58,fg
774,57,df
775,56,hż
776,55,ńd
777,55,hp
778,54,tj
779,52,wż
780,48,hb
781,48,lr
782,47,xo
783,47,uę
784,44,rv
785,44,lh
786,42,cł
787,40,bp
788,38,ćk
789,38,bh
790,37,łi
791,33,uy
792,32,nq
793,29,lń
794,29,żp
795,27,vą
796,27,pń
797,26,vę
798,25,hg
799,22,xl
800,21,gp
801,20,kd
