,freq,ngrams
0,845065,jest
1,778239,dzie
2,497172,prze
3,349050,przy
4,336413,este
5,307889,powi
6,307298,owie
7,297053,mnie
8,293467,praw
9,273409,iedz
10,265411,wied
11,263141,iesz
12,250269,robi
13,244038,może
14,241322,dobr
15,239481,edzi
16,228250,anie
17,222119,osta
18,221232,wszy
19,217173,dzia
20,214945,odzi
21,211594,ałem
22,208818,szys
23,193711,zyst
24,190679,ział
25,186123,szcz
26,185547,steś
27,183093,tego
28,179968,chod
29,177480,pros
30,173287,ędzi
31,172860,rawd
32,167090,myśl
33,165049,ystk
34,159171,obie
35,154075,któr
36,153538,stem
37,152486,zego
38,152175,będz
39,150361,iała
40,149928,pani
41,148285,trze
42,147758,więc
43,147587,tylk
44,147561,mówi
45,147456,ylko
46,145014,wiem
47,144057,jesz
48,141529,musi
49,140325,iałe
50,136650,ieni
51,136553,czeg
52,136310,zrob
53,128361,zeni
54,127539,acze
55,124826,zost
56,124603,rzec
57,124438,ście
58,118348,eśli
59,118036,chce
60,116806,obrz
61,116465,brze
62,115998,ebie
63,115699,widz
64,115567,idzi
65,114973,jeśl
66,114550,tera
67,113717,enia
68,113712,jego
69,112938,iebi
70,112264,ości
71,111459,iśmy
72,110945,enie
73,110851,rosz
74,110726,niej
75,108029,hodz
76,106646,eraz
77,106075,miał
78,105985,czas
79,105832,stał
80,105289,gdzi
81,104434,iedy
82,104233,kied
83,104052,ardz
84,103947,ałam
85,103606,trzy
86,103229,dzię
87,102577,oszę
88,102252,masz
89,102182,bard
90,101797,akie
91,100998,stko
92,100057,liśm
93,99276,zcze
94,99042,ierz
95,98671,woje
96,98504,zięk
97,98022,nego
98,97612,żeby
99,97542,jaki
100,97329,ował
101,97258,ciał
102,96846,ować
103,96805,rzyj
104,96031,ałeś
105,95024,ania
106,94173,wies
107,94055,rzeb
108,93534,twoj
109,92729,awia
110,91668,aczy
111,91230,eszc
112,90781,owan
113,90684,mogę
114,89878,taki
115,89098,nasz
116,88628,rzes
117,87800,chci
118,86923,pier
119,86820,rasz
120,86149,sobi
121,85164,moje
122,85084,stan
123,84667,ecie
124,84365,iemy
125,83912,obra
126,83113,iego
127,82949,staw
128,82591,star
129,82519,czek
130,81560,rzym
131,81459,spra
132,81159,cieb
133,80470,potr
134,80374,pewn
135,80364,udzi
136,79361,było
137,79239,rzys
138,79130,nych
139,79013,adzi
140,78890,hcia
141,78784,rdzo
142,78650,zabi
143,78452,zieć
144,77946,ieci
145,77909,rzez
146,77843,śnie
147,77722,mies
148,77439,rzep
149,77077,zeka
150,77073,czyn
151,75934,ocha
152,75383,wiel
153,75160,asza
154,75129,prac
155,74849,iejs
156,74657,rząd
157,74422,ziem
158,73322,bacz
159,73318,koch
160,72680,lacz
161,72567,umie
162,72387,jedn
163,72307,chcę
164,72252,strz
165,71869,ziej
166,71750,dlac
167,71713,iłem
168,71708,ludz
169,70680,wier
170,70517,otrz
171,70068,rzed
172,69933,apra
173,69796,towa
174,69795,owin
175,69394,ucha
176,69291,napr
177,69282,ziec
178,68735,rowa
179,68115,tani
180,68072,rodz
181,67986,cesz
182,67983,hces
183,67850,awdę
184,67246,stki
185,66922,wiek
186,66859,obić
187,66373,kiem
188,66200,zepr
189,65937,wsze
190,65699,zies
191,65693,zyma
192,65577,samo
193,65538,zysz
194,65478,jcie
195,65262,zecz
196,65258,czyć
197,64875,właś
198,64699,łuch
199,64572,nien
200,64558,iecz
201,64341,końc
202,63963,epra
203,63862,utaj
204,63811,szam
205,63757,tuta
206,63744,była
207,63598,słuc
208,63280,niec
209,63056,iści
210,63010,gląd
211,62666,życi
212,62607,pras
213,62227,nigd
214,62034,porz
215,61757,dzis
216,61727,stra
217,61449,yśli
218,60819,obił
219,60796,rozu
220,60770,ozum
221,60076,nacz
222,60043,ląda
223,59665,oczy
224,59449,zacz
225,59217,żesz
226,58910,orzą
227,58845,wani
228,58412,tóry
229,58300,igdy
230,58223,acie
231,58027,zumi
232,57961,musz
