,freq,ngrams
0,2193979,^ni
1,1618396,^po
2,1405882,^je
3,1321564,^na
4,1320140,^pr
5,1264006,^to
6,1081769,^si
7,1034417,^do
8,1033076,^za
9,804304,^wi
10,753994,^ta
11,726909,^ja
12,696927,^ma
13,688088,^mo
14,678651,^co
15,649216,^że
16,628545,^cz
17,618105,^mi
18,616418,^ch
19,582317,^te
20,564654,^wy
21,559686,^ty
22,512147,^ci
23,495084,^pa
24,492176,^by
25,397969,^dz
26,390492,^ko
27,375700,^ro
28,371788,^st
29,366169,^sp
30,337854,^od
31,315092,^al
32,312231,^mn
33,311540,^ws
34,265994,^sz
35,260479,^mu
36,260360,^mó
37,246642,^kt
38,245279,^go
39,231115,^pi
40,230620,^tu
41,216769,^zn
42,215729,^ra
43,213119,^dl
44,211046,^bę
45,200649,^tr
46,197325,^ki
47,191660,^da
48,189496,^tw
49,187603,^no
50,180598,^zr
51,177901,^ba
52,175881,^zo
53,174839,^gd
54,171736,^on
55,170458,^my
56,165669,^bo
57,165265,^ka
58,158307,^wa
59,158241,^ju
60,152529,^sa
61,150634,^sk
62,142352,^ob
63,134102,^sł
64,131697,^lu
65,129546,^ze
66,121325,^są
67,119081,^in
68,117045,^le
69,116394,^dr
70,115305,^ży
71,112416,^kr
72,112266,^wł
73,111388,^os
74,108823,^pe
75,106531,^so
76,105436,^św
77,103095,^br
78,100538,^ok
79,97948,^sw
80,93079,^zd
81,92655,^wr
82,91602,^ku
83,90692,^oc
84,87161,^ca
85,84499,^gr
86,84251,^we
87,83802,^la
88,83629,^wo
89,82927,^be
90,82641,^se
91,81805,^bi
92,80979,^gł
93,80718,^rz
94,79084,^id
95,76552,^du
96,70892,^zw
97,70029,^pó
98,69932,^ją
99,69109,^fa
100,67486,^op
101,65969,^uw
102,65442,^zł
103,64956,^zm
104,63690,^wc
105,62428,^ic
106,61968,^he
107,61180,^re
108,59304,^uc
109,59299,^ża
110,58555,^zg
111,57647,^dw
112,56462,^im
113,55781,^um
114,55562,^us
115,55063,^li
116,53246,^sy
117,50685,^zb
118,47632,^de
119,45946,^ud
120,45791,^śm
121,45472,^ła
122,44767,^pu
123,44468,^pl
124,44420,^ot
125,43535,^ga
126,43364,^oj
127,42817,^kl
128,42285,^og
129,41084,^bu
130,40956,^su
131,39938,^an
132,39324,^me
133,38703,^ró
134,38278,^dn
135,37690,^wz
136,37368,^có
137,36995,^ur
138,36822,^fi
139,35680,^dł
140,35648,^ru
141,34807,^ab
142,34650,^ce
143,34551,^zi
144,33786,^ha
145,32933,^pł
146,32348,^lo
147,30892,^żo
148,30887,^tę
149,30822,^py
150,30264,^wp
151,29855,^gó
152,28512,^kł
153,28228,^śl
154,28198,^uk
155,27801,^wt
156,27537,^mę
157,27227,^rę
158,26789,^ks
159,26630,^il
160,25282,^up
161,24560,^ar
162,23845,^bl
163,22676,^ho
164,21910,^ry
165,21849,^hi
166,21818,^ak
167,21676,^iś
168,21386,^of
169,21156,^uż
170,20535,^śr
171,19619,^di
172,19354,^bł
173,19208,^nu
174,19188,^fo
175,19135,^sc
176,18917,^ps
177,18900,^zj
178,18758,^mł
179,18481,^ul
180,18420,^fr
181,18269,^tą
182,17814,^au
183,17632,^bó
184,17555,^dy
185,17446,^ge
186,17439,^or
187,16971,^cu
188,16606,^am
189,16225,^śc
190,15776,^ub
191,15713,^sm
192,15632,^aż
193,15080,^ek
194,14731,^kw
195,14483,^is
196,14124,^śp
197,14028,^eg
198,14009,^bą
199,13839,^ut
200,13753,^wk
201,13725,^gw
202,13623,^at
203,13098,^mą
204,12054,^cy
205,11883,^łó
206,11639,^fu
207,11535,^ne
208,11499,^ag
209,11429,^źl
210,11183,^uz
211,10744,^em
212,10608,^ow
213,10490,^oz
214,10402,^gl
215,9994,^tł
216,9977,^ad
217,9771,^th
218,9355,^un
219,9223,^zu
220,8949,^jo
221,8926,^śn
222,8907,^wu
223,8890,^gi
224,8542,^wą
225,8521,^uś
226,8445,^el
227,7533,^ło
228,7311,^gu
229,7085,^gn
230,6849,^wś
231,6775,^uf
232,6750,^oś
233,6507,^ap
234,6469,^wn
235,6216,^uj
236,6156,^wd
237,6081,^fe
238,5970,^as
239,5727,^hu
240,5677,^wó
241,5502,^en
242,5354,^dó
243,5354,^sn
244,5323,^ję
245,5113,^wę
246,5080,^fl
247,4926,^ol
248,4909,^bz
249,4769,^om
250,4582,^ac
251,4531,^łą
252,4359,^ćw
253,4341,^pt
254,4261,^dź
255,4053,^ug
256,3970,^zl
257,3970,^sę
258,3943,^ke
259,3791,^mr
260,3782,^hm
261,3645,^pę
262,3518,^zę
263,3421,^ką
264,3352,^ew
265,3263,^db
266,3199,^nó
267,3185,^ig
268,3143,^ml
269,3134,^aw
270,3133,^oż
271,3104,^sh
272,3104,^źr
273,3088,^tk
274,3037,^dż
275,3012,^żó
276,2972,^eu
277,2894,^va
278,2800,^uł
279,2756,^lą
280,2701,^yo
281,2663,^żą
282,2649,^et
283,2641,^wb
284,2618,^ły
285,2613,^tc
286,2597,^zy
287,2586,^af
288,2554,^sr
289,2499,^łe
290,2465,^ej
291,2402,^kn
292,2355,^rą
293,2297,^wh
294,2287,^ir
295,2215,^iż
296,2150,^gę
297,2120,^nr
298,2034,^es
299,2016,^ef
300,1951,^sf
301,1928,^hr
302,1905,^łu
303,1856,^vi
304,1851,^cm
305,1799,^kó
306,1776,^nę
307,1769,^tl
308,1767,^wl
309,1739,^km
310,1726,^er
311,1712,^pc
312,1705,^ah
313,1667,^ri
314,1633,^tv
315,1589,^zs
316,1538,^ti
317,1492,^iz
318,1446,^łz
319,1406,^ya
320,1358,^vo
321,1355,^ep
322,1340,^ós
323,1322,^mg
324,1314,^ów
325,1266,^oł
326,1247,^oh
327,1238,^ec
328,1224,^hy
329,1206,^mm
330,1123,^ed
331,1114,^wj
332,1096,^aa
333,1084,^ii
334,1073,^lę
335,1064,^ćp
336,1048,^ss
337,1037,^lw
338,996,^ji
339,992,^cr
340,986,^ea
341,984,^ai
342,961,^qu
343,954,^ou
344,935,^ex
345,927,^wm
346,893,^żu
347,867,^az
348,863,^pą
349,854,^ló
350,836,^cw
351,781,^sl
352,760,^cl
353,755,^rd
354,748,^wg
355,731,^dą
356,680,^kp
357,667,^zą
358,660,^kc
359,652,^ie
360,647,^ww
361,631,^rż
362,604,^dm
363,578,^cn
364,577,^it
365,571,^md
366,555,^lś
367,550,^ht
368,548,^ms
369,515,^np
370,504,^tz
371,497,^kg
372,488,^zz
373,487,^łb
374,466,^hę
375,458,^só
376,445,^eh
377,444,^mś
378,431,^ds
379,422,^ei
380,404,^gą
381,367,^ik
382,361,^iw
383,352,^tn
384,337,^bm
385,324,^ov
386,317,^ee
387,312,^uh
388,311,^lż
389,296,^cd
390,293,^pn
391,283,^zż
392,281,^żr
393,267,^żm
394,265,^żn
395,262,^aj
396,262,^ts
397,251,^kę
398,231,^ax
399,220,^żw
400,219,^rw
401,218,^jr
402,215,^ly
403,212,^dę
404,207,^zh
405,205,^ny
406,203,^ae
407,195,^uo
408,193,^ua
409,185,^gm
410,182,^ve
411,176,^rt
412,175,^żł
413,174,^uu
414,174,^źd
415,162,^yi
416,156,^av
417,147,^łż
418,143,^mh
419,137,^fm
420,132,^ey
421,129,^ph
422,124,^łg
423,122,^vu
424,121,^ao
425,119,^ćm
426,116,^ox
427,115,^yu
428,107,^mp
429,101,^ye
430,100,^ck
431,100,^mc
432,95,^dh
433,91,^sq
434,88,^oi
435,84,^oa
436,82,^aq
437,80,^gz
438,71,^wf
439,69,^ev
440,69,^gb
441,61,^rh
442,61,^gh
443,59,^ky
444,58,^eo
445,57,^łk
446,56,^ln
447,55,^ib
448,54,^tj
449,53,^mż
450,50,^mk
451,49,^żi
452,48,^ez
453,47,^eb
454,46,^pk
455,38,^kh
456,38,^bh
457,38,^bp
458,36,^tf
459,35,^pp
460,33,^lg
461,33,^cę
462,31,^wż
463,31,^xx
464,30,^gt
465,29,^cł
466,26,^sj
467,25,^hg
468,25,^xe
469,22,^dg
470,20,^cj
471,19,^pf
472,19,^sv
473,18,^jw
474,18,^lz
475,18,^ft
476,15,^ff
477,15,^mj
478,15,^vv
479,12,^cą
480,12,^ui
481,11,^pm
482,10,^ct
483,9,^bź
484,8,^tx
485,8,^vh
486,7,^ip
487,7,^tg
488,7,^eq
489,7,^sg
490,7,^lh
491,6,^dc
492,6,^fp
493,5,^rs
494,5,^dk
495,5,^kk
496,5,^gx
497,5,^nd
498,5,^bb
499,4,^xr
500,4,^yd
501,4,^oź
502,4,^xc
503,4,^lx
504,4,^rr
505,4,^hp
506,3,^nc
507,3,^hn
508,3,^hl
509,3,^bd
510,3,^xk
511,3,^nb
512,3,^oń
513,3,^ue
514,2,^tó
515,2,^cf
516,2,^żb
517,2,^cg
518,2,^mf
519,2,^rl
520,2,^gy
521,2,^qd
522,2,^tm
523,2,^xs
524,2,^oe
525,2,^kb
526,2,^cp
527,2,^óc
528,2,^eś
529,2,^dv
530,2,^fy
531,2,^mq
532,2,^gs
