,freq,ngrams
0,842722,^jest
1,463289,^prze
2,338717,^przy
3,273457,^mnie
4,263393,^powi
5,238904,^dobr
6,236147,^może
7,201011,^wszy
8,181345,^dzie
9,156302,^pros
10,152125,^tego
11,149133,^będz
12,147448,^tylk
13,146877,^któr
14,142139,^więc
15,135918,^zrob
16,135367,^musi
17,134129,^mówi
18,133880,^myśl
19,123992,^pani
20,123505,^wiem
21,122148,^praw
22,114973,^jeśl
23,114911,^chce
24,112631,^zost
25,108624,^tera
26,104230,^widz
27,104135,^kied
28,102290,^robi
29,101353,^gdzi
30,98775,^masz
31,97504,^żeby
32,96869,^jaki
33,95033,^bard
34,94778,^dzię
35,94126,^chod
36,93534,^twoj
37,91455,^czas
38,90906,^miał
39,88084,^taki
40,87466,^mogę
41,86307,^chci
42,85161,^moje
43,81159,^cieb
44,79364,^wies
45,79165,^spra
46,79027,^potr
47,79026,^było
48,78450,^sobi
49,77960,^zabi
50,73772,^nasz
51,73385,^jesz
52,71871,^chcę
53,71731,^dlac
54,71016,^ludz
55,70819,^pewn
56,69924,^jedn
57,69272,^napr
58,68294,^prac
59,67923,^jego
60,63943,^koch
61,63748,^tuta
62,63378,^właś
63,63199,^wied
64,62828,^wiel
65,62368,^była
66,61950,^nigd
67,60728,^porz
68,59576,^życi
69,58685,^zacz
70,57006,^samo
71,56731,^zoba
72,56503,^swoj
73,55519,^mamy
74,55457,^star
75,54607,^musz
76,54085,^pier
77,49107,^szcz
78,48893,^wygl
79,48747,^miej
80,48287,^dost
81,47847,^chyb
82,47213,^nawe
83,47106,^rzec
84,46864,^domu
85,46375,^czeg
86,45458,^trzy
87,44619,^dale
88,44589,^świe
89,43983,^znal
90,43594,^zaws
91,43338,^rodz
92,43010,^każd
93,42975,^czek
94,42933,^będę
95,42551,^stra
96,42436,^stał
97,42376,^chło
98,41136,^oczy
99,41013,^mies
100,41012,^moja
101,40505,^śmie
102,40430,^troc
103,40271,^rozu
104,38139,^ktoś
105,37947,^czym
106,37864,^cześ
107,37689,^świa
108,37586,^chwi
109,37582,^pomy
110,37540,^wróc
111,37473,^czło
