,freq,ngrams
0,3746272,ie^
1,1287487,to^
2,1236843,ię^
3,1096175,em^
4,1018504,na^
5,907035,go^
6,902026,sz^
7,782447,am^
8,771192,ak^
9,744551,że^
10,681363,my^
11,648934,ej^
12,548759,co^
13,542864,st^
14,530317,ch^
15,524048,ać^
16,477280,ze^
17,473939,ym^
18,446089,zy^
19,444305,le^
20,430058,mi^
21,429474,do^
22,390799,ko^
23,381888,eś^
24,370045,ny^
25,349153,li^
26,346502,ła^
27,341219,aj^
28,339043,je^
29,336237,ia^
30,325504,ki^
31,322668,ci^
32,321188,ić^
33,310617,za^
34,307967,ał^
35,302410,ja^
36,292153,dy^
37,290227,ne^
38,286794,ka^
39,276881,ty^
40,275623,ło^
41,269138,zę^
42,265864,by^
43,257215,ją^
44,248028,ni^
45,240313,ść^
46,234910,yć^
47,234210,ów^
48,227316,ję^
49,226683,tu^
50,211889,im^
51,208826,ku^
52,204494,no^
53,204111,oś^
54,193174,mu^
55,187885,ma^
56,187406,ra^
57,180526,ta^
58,180214,wa^
59,178059,az^
60,173956,ry^
61,170818,dę^
62,166809,la^
63,166236,cy^
64,164129,ce^
65,158602,ek^
66,156491,en^
67,155610,ój^
68,153686,eć^
69,151409,as^
70,147245,an^
71,146230,po^
72,144519,da^
73,143591,ły^
74,140420,ną^
75,138758,uż^
76,131942,od^
77,126280,wy^
78,125465,on^
79,125306,zi^
80,120770,ił^
81,113670,ył^
82,113359,dź^
83,112195,ez^
84,112078,gę^
85,106941,cę^
86,106555,kę^
87,106011,ęc^
88,104378,ba^
89,99443,aś^
90,99046,ic^
91,98036,ią^
92,94122,bo^
93,91490,ca^
94,91131,są^
95,89544,eż^
96,87035,wi^
97,83380,we^
98,83014,rz^
99,81792,iu^
100,81322,wo^
101,81039,zo^
102,79435,et^
103,79173,yś^
104,76971,ąd^
105,76359,te^
106,73828,at^
107,73263,ro^
108,70960,zą^
109,70773,ką^
110,70582,nę^
111,69597,ji^
112,68069,lę^
113,64449,cz^
114,59497,eń^
115,57400,ec^
116,56959,ąć^
117,56727,ij^
118,56216,bą^
119,55337,aż^
120,54435,tę^
121,54048,ok^
122,53346,er^
123,53086,ąc^
124,49332,re^
125,47206,ad^
126,46765,lu^
127,46509,su^
128,45305,om^
129,44827,si^
130,44020,iś^
131,43916,tą^
132,43222,ga^
133,43091,mo^
134,43025,du^
135,42051,óż^
136,41857,hę^
137,40844,rę^
138,40577,ób^
139,40566,łe^
140,40250,kt^
141,40137,uj^
142,38728,nu^
143,38301,ań^
144,37900,cą^
145,36030,dą^
146,35949,gi^
147,35377,ży^
148,35262,wę^
149,35091,dz^
150,34148,ód^
151,33673,nt^
152,33553,cu^
153,33506,al^
154,32437,wą^
155,31871,ed^
156,31670,iż^
157,31517,sy^
158,31283,zu^
159,31171,bi^
160,30776,oc^
161,30715,ju^
162,30593,ii^
163,30435,el^
164,30026,ik^
165,28315,or^
166,27813,dł^
167,27384,rą^
168,26882,ął^
169,26714,ół^
170,25255,yt^
171,23936,um^
172,23778,gu^
173,23591,sa^
174,23546,ha^
175,22898,łą^
176,22888,ru^
177,22805,żo^
178,22749,in^
179,22609,ąż^
