,freq,ngrams
0,512493,jest^
1,280119,dzie^
2,268366,mnie^
3,211117,ałem^
4,192812,anie^
5,192748,iesz^
6,182314,tego^
7,150048,stem^
8,147448,ylko^
9,145351,może^
10,138544,zego^
11,134170,steś^
12,131390,wiem^
13,115423,eśli^
14,113463,jego^
15,112817,brze^
16,111459,iśmy^
17,109769,ebie^
18,109261,ście^
19,106339,eraz^
20,105984,więc^
21,102577,oszę^
22,101321,ałam^
23,100573,stko^
24,100497,obie^
25,98189,enia^
26,97203,masz^
27,96846,ować^
28,96642,nego^
29,96031,ałeś^
30,93159,enie^
31,90684,mogę^
32,84294,iemy^
33,81621,iedy^
34,79556,niej^
35,79130,nych^
36,77885,rdzo^
37,77313,iego^
38,76160,zieć^
39,75291,ości^
40,73346,zcze^
41,72307,chcę^
42,72059,było^
43,71700,iłem^
44,71652,rzez^
45,71430,jesz^
46,68494,pani^
47,67983,cesz^
48,67850,awdę^
49,66859,obić^
50,66118,ania^
51,65792,żeby^
52,65255,czyć^
53,65103,kiem^
54,63743,utaj^
55,63371,ecie^
56,62859,odzi^
57,62759,iała^
58,59196,żesz^
59,58300,igdy^
60,57747,szam^
61,57215,mamy^
62,55804,śnie^
63,55625,obra^
64,53984,ądku^
65,51912,kuję^
66,51383,uszę^
67,50134,ział^
68,49264,woje^
69,48803,wsze^
70,48313,awda^
71,48223,jcie^
72,47473,hyba^
73,47213,awet^
74,46880,iłeś^
75,46870,domu^
76,45927,czas^
77,44174,dzić^
78,44086,ojej^
79,43980,ałaś^
80,43851,będę^
81,43247,była^
82,43167,yłem^
83,42674,sisz^
84,42589,bisz^
85,42335,tało^
86,42246,ześć^
87,41984,stać^
88,41317,ycie^
89,41301,wnie^
90,41012,moja^
91,40335,ochę^
92,39736,ięki^
93,39414,wiek^
94,39309,moje^
95,39136,eśmy^
96,38846,kich^
97,38692,zisz^
98,38139,ktoś^
99,37807,dnie^
100,37162,akie^
101,37077,twój^
102,37011,łbym^
103,37007,ęcej^
104,36673,ował^
105,36487,simy^
106,36337,tobą^
107,36190,yscy^
108,36168,acie^
109,36083,zień^
110,36034,czym^
111,35926,jemy^
112,35693,chce^
113,35598,tóry^
114,35514,tnie^
115,35492,alej^
116,35389,lisz^
117,35273,azem^
118,35237,hodź^
119,35204,pana^
120,34746,żemy^
121,34629,ostu^
122,34087,owie^
123,33406,yślę^
124,33166,albo^
125,33153,iłam^
126,33028,boże^
127,32954,piej^
128,32942,chaj^
129,32773,znie^
130,32731,iech^
131,32433,stwo^
132,32330,icie^
133,32032,tych^
134,31726,obry^
135,31197,otem^
136,31009,ację^
137,30783,iedz^
138,30533,zemu^
139,30515,udzi^
140,30333,zysz^
141,30316,iele^
142,30307,rzed^
143,30173,ekaj^
144,29771,wego^
145,29641,woją^
146,29514,ieje^
147,29388,nasz^
148,29147,miał^
149,28387,chać^
150,28287,eczy^
151,28278,przy^
152,28128,acji^
153,27952,mieć^
154,27618,oich^
155,27564,aczy^
156,27346,temu^
157,27145,tóre^
158,27133,woja^
159,26769,cham^
160,26572,ziej^
161,26554,zasu^
162,26534,okój^
163,25974,wiać^
164,25918,niem^
165,25896,ność^
166,25745,nikt^
167,25620,moim^
168,25395,musi^
169,25278,taki^
170,25244,woim^
171,25115,stań^
172,25063,czne^
173,24848,ląda^
174,24705,rzyć^
175,24681,stąd^
176,24623,zcie^
177,24568,mówi^
178,24477,wisz^
179,24400,ieli^
180,24316,eden^
181,24252,asne^
182,24028,tkie^
183,23758,miem^
184,23706,tedy^
185,23673,yłeś^
186,23579,dziś^
187,23427,ieci^
188,23306,yśmy^
189,23266,nich^
190,23141,szym^
191,22637,wany^
192,22621,daje^
193,22437,stał^
194,22427,dużo^
195,22175,robi^
196,22131,zeba^
197,21967,osób^
198,21806,yśli^
199,21791,ędzy^
200,21777,moją^
201,21543,awie^
202,21540,kogo^
203,21488,zony^
204,21481,iało^
205,21480,acja^
206,21349,dasz^
207,21256,yłam^
208,21097,cały^
209,20994,ciec^
210,20990,nami^
211,20904,ęcia^
212,20837,skąd^
213,20782,jako^
214,20734,stwa^
215,20665,dnia^
216,20576,jsce^
217,20473,obię^
218,20466,kiej^
219,20351,ożna^
220,20281,ycia^
221,20250,buję^
222,20216,ilka^
223,20195,idzę^
224,20096,eniu^
225,20060,ługo^
226,19967,awić^
227,19943,mają^
228,19860,lera^
229,19848,orze^
230,19810,kieś^
231,19769,iłaś^
232,19746,omóc^
233,19715,akiś^
234,19685,ybko^
235,19668,wych^
236,19413,lnie^
237,19337,ając^
238,19280,araz^
239,19278,tary^
240,19267,zbyt^
241,19229,czny^
242,18869,wała^
243,18857,obił^
244,18842,brać^
245,18795,zych^
246,18675,kami^
247,18667,egoś^
248,18664,ówię^
249,18597,siaj^
250,18573,zedł^
251,18570,trzy^
252,18483,łego^
253,18359,ykro^
254,18288,łość^
255,18261,rzeć^
256,18250,jnie^
257,18219,tyle^
258,18154,tóra^
259,18131,ścią^
260,17951,ymać^
261,17936,urwa^
262,17889,asze^
263,17804,abym^
264,17801,szej^
265,17798,jaki^
266,17751,ęcie^
267,17725,niec^
268,17724,racy^
269,17704,erze^
270,17695,ogoś^
271,17652,dźmy^
272,17610,ziny^
273,17519,źcie^
274,17512,zyna^
275,17438,onie^
276,17391,anim^
277,17347,aniu^
278,17138,liwe^
279,17079,ówić^
280,17044,iony^
281,17016,órzy^
282,16981,mamo^
283,16946,sobą^
284,16926,utro^
285,16849,nocy^
286,16831,ejść^
287,16787,ądze^
288,16764,zymy^
289,16736,czej^
290,16734,eważ^
291,16719,adać^
292,16712,rawa^
293,16688,ewno^
294,16653,ywać^
295,16633,edyś^
296,16570,mógł^
297,16452,znać^
298,16441,owym^
299,16440,zuję^
300,16418,owej^
301,16394,rego^
302,16207,tato^
303,16186,będą^
304,16136,isko^
305,15925,ieję^
306,15822,taka^
307,15810,jące^
308,15769,ymaj^
309,15754,wszy^
310,15580,ebyś^
311,15528,azie^
312,15527,ciał^
313,15479,ażne^
314,15479,tasz^
315,15454,roku^
316,15449,mocy^
317,15449,żnie^
318,15431,leźć^
319,15418,dził^
320,15116,ażdy^
321,15116,ierz^
322,15110,nowu^
323,15102,znam^
324,15043,orem^
325,14947,blem^
326,14929,łbyś^
327,14887,iach^
328,14847,koju^
329,14825,akim^
330,14789,żyje^
331,14660,leży^
332,14645,wali^
333,14606,czył^
334,14561,atrz^
335,14511,rych^
336,14273,kach^
337,14253,adal^
338,14202,ójrz^
339,14155,doba^
340,14113,ciąż^
341,14106,sama^
342,14088,alne^
343,14086,sami^
344,14050,ecko^
345,13944,ekać^
346,13896,bimy^
347,13889,obre^
348,13883,chód^
349,13857,imię^
350,13793,iwie^
351,13772,razy^
352,13714,mysł^
353,13613,żeli^
354,13575,tkim^
355,13564,nika^
356,13535,ielu^
357,13534,łoby^
358,13530,asza^
359,13506,czkę^
360,13447,knij^
361,13443,cież^
362,13440,rzwi^
363,13437,abić^
364,13388,nicy^
365,13380,tała^
366,13372,awaj^
367,13368,ócić^
368,13367,były^
369,13347,samo^
370,13321,dyby^
371,13274,rawy^
372,13257,acje^
373,13239,wane^
374,13236,kuje^
375,13077,oczy^
376,13049,mogą^
377,13035,wodu^
378,13033,mama^
379,12983,miło^
380,12969,iały^
381,12958,onić^
382,12929,wilę^
383,12853,ubię^
384,12808,dłem^
385,12774,wiam^
386,12757,wasz^
387,12729,iast^
388,12624,wili^
389,12555,bądź^
390,12555,alny^
391,12522,czna^
392,12520,inny^
393,12463,inut^
394,12450,zona^
395,12450,panu^
396,12439,ścia^
397,12404,zieś^
398,12397,bacz^
399,12367,zone^
400,12339,poza^
401,12320,dość^
402,12316,asie^
403,12306,ońcu^
404,12176,nymi^
405,12132,dwie^
406,12132,skie^
407,12090,łowa^
408,11965,ągle^
409,11959,zimy^
410,11937,wana^
411,11912,adek^
412,11908,atka^
413,11907,inie^
414,11843,broń^
415,11840,adza^
416,11801,acet^
417,11788,rczy^
418,11780,ajmy^
419,11759,iasz^
420,11672,osić^
421,11672,póki^
422,11670,akby^
423,11608,staw^
424,11564,zyny^
425,11513,ieść^
426,11505,adaj^
427,11459,tórą^
428,11455,dnym^
429,11451,jący^
430,11439,ciej^
431,11388,ntów^
432,11363,mały^
433,11352,yciu^
434,11350,ione^
435,11294,ebym^
436,11269,kamy^
437,11248,buje^
438,11177,dało^
439,11138,yłaś^
440,11122,ynie^
441,11113,eneś^
442,11107,ciem^
443,11103,ieku^
444,11056,tach^
445,11055,wiat^
446,11052,dnej^
447,11037,żona^
448,11029,czki^
449,10912,iona^
450,10901,szła^
451,10849,edno^
452,10803,łych^
453,10740,lata^
454,10729,ojca^
455,10691,wien^
456,10674,yjść^
457,10654,ików^
458,10652,zyli^
459,10648,edna^
460,10646,racę^
461,10622,awia^
462,10601,zuje^
463,10582,nowy^
464,10546,dnak^
465,10544,rony^
466,10538,rzem^
467,10511,swój^
468,10502,ytać^
469,10463,czka^
470,10451,jscu^
471,10388,wody^
472,10382,lony^
473,10349,ejdź^
474,10340,zasz^
475,10320,cisz^
476,10286,szło^
477,10278,akże^
478,10262,zyło^
479,10227,iera^
480,10220,rano^
481,10180,atem^
482,10178,ąłem^
483,10162,ncie^
484,10159,kasz^
485,10113,atki^
486,10111,elki^
487,10087,rawo^
488,10078,edną^
489,10075,ięcy^
490,10067,ądzę^
491,10053,cych^
492,10053,dają^
493,10040,siał^
494,10024,byli^
495,10018,enem^
496,10012,rawę^
497,9995,całe^
498,9976,tami^
499,9972,abyś^
500,9948,zwól^
501,9904,ówił^
502,9901,kład^
503,9880,halo^
504,9844,zyła^
505,9825,nimi^
506,9809,ałym^
507,9808,órym^
508,9807,erzę^
509,9765,iety^
510,9675,całą^
511,9673,koro^
512,9671,arza^
513,9658,zywa^
514,9597,wóch^
515,9584,umer^
516,9580,rogi^
517,9570,ścić^
518,9530,cuję^
519,9519,łaby^
520,9514,mość^
521,9506,wało^
522,9494,elem^
