,freq,ngrams
0,72106,chcę
1,72025,było
2,43026,będę
3,42628,była
4,36219,czas
5,35302,chce
6,33482,albo
7,33040,boże
8,30440,czym
9,20960,cały
10,15835,będą
11,13214,były
12,11847,broń
13,11625,bądź
14,9757,całe
15,9609,całą
16,9377,byli
17,9259,chcą
18,6948,brat
19,6644,cała
20,6230,boga
21,4957,brak
22,4703,choć
23,4631,boję
24,4572,błąd
25,4556,boli
26,4430,czyż
27,3986,daje
28,3643,bogu
29,3440,ależ
30,3254,buty
31,2964,abyś
32,2958,alex
33,2930,celu
34,2923,atak
35,2579,brać
36,2526,bill
37,2433,dala
38,2285,czuć
39,2139,abym
40,1970,daję
41,1940,dała
42,1940,bank
43,1888,andy
44,1883,bólu
45,1868,come
46,1796,adam
47,1776,auto
48,1718,cenę
49,1711,akta
50,1597,alan
51,1533,auta
52,1520,amen
53,1498,city
54,1478,abby
55,1334,boku
56,1315,dali
57,1313,bazy
58,1286,baby
59,1256,byle
60,1241,anna
61,1234,dają
62,1216,carl
63,1213,czek
64,1204,beze
65,1203,celi
66,1174,back
67,1128,baru
68,1102,czuł
69,1100,dach
70,1051,bawi
71,1003,cena
72,960,bije
73,910,dało
74,910,brad
75,909,chan
76,898,bani
77,886,boją
78,880,ciał
79,880,clay
80,872,anne
81,857,cole
82,848,beth
83,828,brał
84,817,bywa
85,811,będe
86,741,cele
87,732,dale
88,730,chin
89,727,ceny
90,715,been
91,709,baza
92,706,cień
93,701,cios
94,673,blue
95,668,dama
96,660,chuj
97,657,balu
98,652,anno
99,635,cali
100,596,away
101,576,bush
102,571,cuda
103,559,alfa
104,559,czyj
105,551,chęć
106,549,bieg
107,529,bylo
108,516,call
109,510,bena
110,509,ajay
111,497,chip
112,497,bond
113,497,buck
114,496,baba
115,496,cody
116,493,cool
117,485,club
118,484,bazę
119,479,chen
120,474,aids
121,469,byłą
122,454,boba
123,453,bang
124,445,biec
125,434,cyrk
126,431,ciąg
127,414,bóle
128,378,blok
129,377,cynk
130,300,bunt
131,245,czar
132,231,chow
133,231,cykl
134,230,aktu
135,228,brwi
136,228,afro
137,228,chór
138,215,brud
139,209,czyn
140,189,alei
141,179,boks
142,178,azyl
143,170,cela
144,167,ćpun
145,164,cech
146,139,boki
147,136,akty
148,111,cent
149,110,bary
150,110,cudo
151,109,bela
152,104,buda
153,94,czad
154,91,bóbr
155,86,arka
156,86,bark
157,85,aura
158,82,baty
159,78,blog
160,69,apel
161,67,azot
162,66,bicz
163,66,chód
164,61,bruk
165,58,byki
166,58,atut
167,57,alba
168,56,bala
169,51,atom
170,50,aria
171,49,amor
172,43,boja
173,43,asia
174,43,anya
175,43,acme
176,42,bose
177,42,cubs
178,42,auli
179,42,bożę
180,42,budd
