,variant1,variant2,variant3,variant4
0,nisz,szcz,poto,strz
1,nist,skrz,posz,sprz
2,nimi,dwcz,post,zdrz
3,nini,0,podo,dwdz
4,nisi,0,pono,0
5,poko,0,popo,0
6,pocz,0,porz,0
7,jesz,0,powo,0
8,jest,0,pozo,0
9,jerz,0,poro,0
10,jedz,0,pomo,0
11,jent,0,podz,0
12,naka,0,pont,0
13,nacz,0,nana,0
14,prem,0,nasz,0
15,prak,0,nast,0
16,prze,0,nama,0
17,prez,0,nara,0
18,pret,0,nata,0
19,prok,0,nawa,0
20,proc,0,nada,0
21,toko,0,narz,0
22,tocz,0,nadz,0
23,sisz,0,prym,0
24,sist,0,przy,0
25,sini,0,prza,0
26,doko,0,pras,0
27,docz,0,pran,0
28,dokt,0,prod,0
29,zaka,0,przo,0
30,zacz,0,prad,0
31,wisz,0,prom,0
32,wist,0,pror,0
33,wini,0,pryt,0
34,wisi,0,praw,0
35,widz,0,tosz,0
36,wint,0,tost,0
37,taka,0,todo,0
38,tacz,0,tono,0
39,takt,0,topo,0
40,jaka,0,torz,0
41,maka,0,towo,0
42,maca,0,toro,0
43,macz,0,tomo,0
44,mocz,0,dosz,0
45,misz,0,dost,0
46,mist,0,dono,0
47,mini,0,dopo,0
48,misi,0,dorz,0
49,test,0,dowo,0
50,terz,0,dozo,0
51,tere,0,doro,0
52,tent,0,domo,0
53,wycz,0,dodz,0
54,tycy,0,zana,0
55,tycz,0,zasz,0
56,paka,0,zast,0
57,pacz,0,zaja,0
58,dzem,0,zama,0
59,dzej,0,zara,0
60,dzmi,0,zata,0
61,dzko,0,zawa,0
62,dzka,0,zada,0
63,dzim,0,zarz,0
64,dzen,0,zadz,0
65,dzin,0,zant,0
66,roko,0,zasa,0
67,rocz,0,tana,0
68,stem,0,tasz,0
69,stej,0,tast,0
70,stko,0,tara,0
71,stne,0,tata,0
72,stka,0,tawa,0
73,stni,0,tarz,0
74,sten,0,tant,0
75,stwi,0,tasa,0
76,stwe,0,jana,0
77,stet,0,jasz,0
78,stok,0,jaja,0
79,ster,0,jada,0
