,variant1,variant2,variant3,variant4
0,nini,0,poto,zwrz
1,niwi,0,posz,dwsz
2,nidz,0,pono,dwst
3,poco,0,pozo,wprz
4,jeje,0,naza,0
5,jene,0,nama,0
6,jerz,0,nara,0
7,jere,0,nawa,0
8,prem,0,nant,0
9,prej,0,nasa,0
10,prok,0,pram,0
11,proc,0,prym,0
12,toko,0,praj,0
13,tocz,0,praz,0
14,simi,0,pras,0
15,sini,0,pran,0
16,siwi,0,prod,0
17,zaca,0,pron,0
18,zakt,0,pryt,0
19,wimi,0,tosz,0
20,wiwi,0,tono,0
21,wint,0,topo,0
22,taca,0,toro,0
23,jaca,0,todz,0
24,jacz,0,doto,0
25,jakt,0,dodo,0
26,makt,0,dozo,0
27,mokt,0,doro,0
28,mimi,0,zast,0
29,misi,0,zaza,0
30,midz,0,zaja,0
31,mint,0,zama,0
32,tene,0,zant,0
33,tewe,0,tana,0
34,tete,0,taza,0
35,tere,0,taja,0
36,tedz,0,tadz,0
37,tent,0,tant,0
38,wycy,0,jama,0
39,paka,0,jawa,0
40,paca,0,jarz,0
41,dzak,0,jadz,0
42,dzko,0,maza,0
43,dzni,0,mant,0
44,dzim,0,moto,0
45,dzcy,0,mozo,0
46,dzet,0,moro,0
47,dzij,0,tyst,0
48,roco,0,tyty,0
49,rokt,0,past,0
50,stni,0,pawa,0
51,sten,0,parz,0
52,stwi,0,padz,0
53,stwe,0,pant,0
54,stet,0,dzym,0
55,stok,0,roto,0
56,spak,0,rost,0
57,spet,0,rodo,0
58,spij,0,rorz,0
59,sped,0,rozo,0
60,spin,0,roro,0
61,mnem,0,romo,0
62,mnoc,0,stno,0
63,wsem,0,spam,0
64,wsin,0,spaj,0
65,szen,0,spaz,0
66,szca,0,spat,0
67,szet,0,spom,0
68,szer,0,spaw,0
69,pini,0,odod,0
70,pidz,0,odon,0
71,znem,0,odom,0
72,znim,0,odor,0
73,zner,0,mnam,0
74,znin,0,mnon,0
75,raca,0,mnat,0
76,tren,0,mnad,0
77,trez,0,mnom,0
78,trok,0,mnaw,0
79,dacz,0,wson,0
80,dakt,0,wszo,0
81,twoc,0,wsom,0
82,twin,0,szna,0
83,noko,0,szny,0
84,nocz,0,szwa,0
85,zrem,0,szan,0
86,zocz,0,szat,0
87,onok,0,szro,0
88,mycy,0,szad,0
89,saka,0,znor,0
90,sacz,0,znyt,0
91,skas,0,znar,0
92,skod,0,rasz,0
93,skat,0,rast,0
94,skro,0,rara,0
95,skad,0,rarz,0
96,zeze,0,tram,0
97,zerz,0,tras,0
98,drak,0,tran,0
99,drej,0,trod,0
100,drwi,0,trom,0
101,drok,0,tryt,0
102,dred,0,trar,0
103,osok,0,dast,0
104,osoc,0,dara,0
105,pesz,0,dant,0
106,perz,0,dasa,0
107,pent,0,twas,0
108,okok,0,twon,0
109,okom,0,twor,0
110,zdet,0,noto,0
111,zdre,0,noro,0
112,wrem,0,zram,0
113,ocod,0,zrym,0
114,ocom,0,zrzy,0
115,ococ,0,zraz,0
116,wesz,0,zron,0
117,woko,0,zryt,0
118,sest,0,zoto,0
119,seje,0,zono,0
120,sene,0,zopo,0
121,serz,0,zozo,0
122,sent,0,zoro,0
123,rzni,0,zomo,0
124,zwem,0,onto,0
125,opok,0,onod,0
126,zmak,0,onon,0
127,zmim,0,onom,0
128,zmij,0,myty,0
129,zmer,0,wana,0
130,wczy,0,wast,0
131,resz,0,waja,0
132,rest,0,wama,0
133,reje,0,wasa,0
134,rete,0,sasz,0
135,redz,0,saja,0
136,dwak,0,sara,0
137,dwen,0,sawa,0
138,dwij,0,sada,0
139,dwer,0,sasa,0
140,sycz,0,draj,0
141,dest,0,drwa,0
142,dewe,0,dras,0
143,derz,0,drzo,0
144,otok,0,drad,0
145,anak,0,drom,0
146,mesz,0,oson,0
147,meje,0,sono,0
148,merz,0,sowo,0
149,mere,0,somo,0
150,medz,0,sodz,0
151,dnem,0,swom,0
152,dner,0,swor,0
153,wzak,0,swaw,0
154,zisz,0,swar,0
155,zimi,0,zdym,0
156,wpij,0,zdra,0
157,wpin,0,zdry,0
158,wten,0,zdat,0
159,wtoc,0,wram,0
160,0,0,wrzy,0
161,0,0,wras,0
162,0,0,wran,0
163,0,0,wryt,0
164,0,0,wosz,0
165,0,0,wodo,0
166,0,0,worz,0
167,0,0,wozo,0
168,0,0,womo,0
169,0,0,wont,0
170,0,0,rzno,0
171,0,0,rzma,0
172,0,0,rzwa,0
173,0,0,rzwy,0
174,0,0,rzon,0
175,0,0,rzat,0
176,0,0,rzmo,0
177,0,0,rzyt,0
178,0,0,zwam,0
179,0,0,zwad,0
180,0,0,zwar,0
181,0,0,opom,0
182,0,0,zmam,0
183,0,0,zmaj,0
184,0,0,zmaz,0
185,0,0,zman,0
186,0,0,zmat,0
187,0,0,zmom,0
188,0,0,zmyt,0
189,0,0,zmaw,0
190,0,0,dwan,0
191,0,0,dwom,0
192,0,0,dwar,0
193,0,0,symy,0
194,0,0,syst,0
195,0,0,syny,0
196,0,0,syty,0
197,0,0,synt,0
198,0,0,otno,0
199,0,0,oton,0
200,0,0,otom,0
201,0,0,anam,0
202,0,0,anar,0
203,0,0,dnaj,0
204,0,0,dnas,0
205,0,0,dnon,0
206,0,0,dnar,0
207,0,0,wzwy,0
208,0,0,pyty,0
209,0,0,wpaj,0
210,0,0,wpan,0
211,0,0,wpom,0
212,0,0,wtas,0
