,variant1,variant2,variant3,variant4
0,mmdi,mmcm,azzz,mmww
1,wjti,mmjk,azzw,mmjs
2,ssdi,mmcd,azsp,mmmp
3,wmdi,mmct,azsm,mmmw
4,rdti,mmdc,azzp,mmws
5,dmdi,mmjc,ajtp,mmmn
6,mdti,mmwc,ajtm,mmjr
7,msdi,mmwk,ajjs,mmjm
8,npdi,mmcs,ajzz,mmwr
9,nppe,mmcn,ajtd,mmdm
10,dsdi,wjjk,ajzw,mmwd
11,tnpe,wjtc,ajtt,mmjd
12,pnpe,wjjc,ajjr,mmjt
13,ajjk,ssrc,ajjm,mmms
14,ajtc,ssdc,ajjd,mmjp
15,ajjc,wmcm,ajtj,mmjn
16,tsdi,wmjk,ajtz,mmjw
17,rtti,wmcd,ajjt,mmdj
18,rtdi,wmct,ajjp,mmjz
19,rtpe,wmdc,ajjn,mmwt
20,mpdi,wmjc,ajzp,mmdn
21,mppe,wmwc,ajjw,wjtp
22,tjti,wmwk,ajjz,wjtm
23,mkyz,wmcs,ajts,wjjs
24,mkyr,wmcn,ydtp,wjzz
25,pkyz,rdtc,ydtm,wjtd
26,pkyr,wwjk,ydtd,wjzw
27,ppdi,wwjc,ydtt,wjtt
28,pppe,wwwc,ydtj,wjjr
29,sjti,wwwk,ydtz,wjjm
30,mjti,dmcm,ydts,wjjd
31,pmdi,dmjk,0,wjtj
32,rsdi,dmcd,0,wjtz
33,dkyz,dmct,0,wjjt
34,dkyr,dmdc,0,wjjp
35,ndti,dmjc,0,wjjn
36,ydtc,dmwc,0,wjzp
37,tmdi,dmwk,0,wjjw
38,0,dmcs,0,wjjz
39,0,dmcn,0,wjts
40,0,mdtc,0,ssrn
41,0,msrc,0,sssp
42,0,msdc,0,ssrp
43,0,npdc,0,sssm
44,0,nppk,0,ssdm
45,0,dsrc,0,ssrr
46,0,dsdc,0,ssdj
47,0,tnrc,0,ssdn
48,0,tnjk,0,wmww
49,0,tnjc,0,wmjs
50,0,tnwc,0,wmmp
51,0,tnwk,0,wmmw
52,0,tnpk,0,wmws
53,0,pnrc,0,wmmn
54,0,pnjk,0,wmjr
55,0,pnjc,0,wmjm
56,0,pnwc,0,wmwr
57,0,pnwk,0,wmdm
58,0,pnpk,0,wmwd
59,0,tsrc,0,wmjd
60,0,tsdc,0,wmjt
61,0,rwjk,0,wmms
62,0,rwjc,0,wmjp
63,0,rwwc,0,wmjn
64,0,rwwk,0,wmjw
65,0,jrrc,0,wmdj
66,0,rtjk,0,wmjz
67,0,rttc,0,wmwt
68,0,rtdc,0,wmdn
69,0,rtjc,0,rdtp
70,0,rtpk,0,rdtm
71,0,mpdc,0,rdtd
72,0,mppk,0,rdtt
73,0,mctp,0,rdtj
74,0,mcrc,0,rdtz
75,0,mcps,0,rdts
76,0,mctm,0,wwww
77,0,mccm,0,wwjs
78,0,mcww,0,wwmp
79,0,mcrn,0,wwmw
80,0,mcpt,0,wwws
81,0,mcmp,0,wwmn
82,0,mctd,0,wwjr
83,0,mcmw,0,wwjm
84,0,mcws,0,wwwr
85,0,mccd,0,wwwd
86,0,mctt,0,wwjd
87,0,mcmn,0,wwjt
88,0,mcsp,0,wwms
89,0,mcrp,0,wwjp
90,0,mcsm,0,wwjn
91,0,mcct,0,wwjw
92,0,mcwr,0,wwjz
93,0,mcdm,0,wwwt
94,0,mcwd,0,dmww
95,0,mcrr,0,dmjs
96,0,mctj,0,dmmp
97,0,mctc,0,dmmw
98,0,mcpp,0,dmws
99,0,mcdc,0,dmmn
100,0,mctz,0,dmjr
101,0,mcpn,0,dmjm
102,0,mcwc,0,dmwr
103,0,mcms,0,dmdm
104,0,mcpm,0,dmwd
105,0,mccs,0,dmjd
106,0,mcdj,0,dmjt
107,0,mcts,0,dmms
108,0,mcpr,0,dmjp
109,0,mcwt,0,dmjn
110,0,mccn,0,dmjw
111,0,mcdn,0,dmdj
112,0,tjjk,0,dmjz
113,0,tjtc,0,dmwt
114,0,tjjc,0,dmdn
115,0,mkps,0,mdtp
116,0,mkjs,0,mdtm
117,0,mkpt,0,mdtd
118,0,mkmp,0,mdtt
119,0,mkjk,0,mdtj
120,0,mkmw,0,mdtz
121,0,mkmn,0,mdts
122,0,mkjr,0,msrn
123,0,mkjm,0,mssp
124,0,mkdm,0,msrp
125,0,mkjd,0,mssm
126,0,mkkr,0,msdm
127,0,mkpp,0,msrr
128,0,mkkp,0,msdj
129,0,mkkw,0,msdn
130,0,mkjt,0,npps
131,0,mkpn,0,nppt
132,0,mkms,0,npmp
133,0,mkjp,0,npmw
134,0,mkjn,0,npmn
135,0,mkpm,0,npdm
136,0,mkkk,0,nppp
