,variant1,variant2,variant3,variant4
0,lęźb,ćpśb,quhł,ćpff
1,ćphą,lśżb,quux,ćphł
2,ćpąp,lśbł,quuu,ćpśń
3,ćpfą,lśbp,quvu,ćpgh
4,ćpąź,lśbć,quuf,ćpfl
5,quźb,lśbl,quhp,ćppp
6,żuźb,łbff,quxx,ćppł
7,lóśb,łbhł,quuh,ćphp
8,hęźb,łbśń,quhg,ćppń
9,uhżb,łbgh,quhl,ćphg
10,uhśb,łbżb,quuź,ćpśp
11,uhlb,łbźb,żuhł,ćppl
12,uhbł,łbśb,żuux,ćpfp
13,uhbp,łbbł,żuuu,ćphl
14,uhbć,łbfl,żuvu,lżłg
15,uhbl,łbpp,żuuf,lżłp
16,żłfą,łbpł,żuhp,lżłć
17,uuźb,łbhp,żuxx,lżpp
18,phąp,łbbp,żuuh,lżpł
19,phąź,łbpń,żuhg,lżłż
20,łghą,łbhg,żuhl,lżpń
21,vuźb,łbśp,żuuź,lżpl
22,ghąp,łbbć,lóśń,lżłń
23,ghąź,łbpl,lópp,żłlf
24,pphą,łbfp,lópł,żłff
25,ppąp,łbbl,lópń,żłśń
26,ppfą,łbhl,lóśp,żłgh
27,ppąź,lżżb,lópl,żłłg
28,lghą,lżbł,uhlf,żłłp
29,xxhą,lżbp,uhśń,żłlp
30,xxfą,lżbć,uhgh,żłlg
31,hghą,lżbl,uhlp,żłłć
32,pfąp,lżłb,uhlg,żłfl
33,pffą,żłżb,uhpp,żłpp
34,pfąź,żłźb,uhpł,żłpł
35,pfęb,żłśb,uhlń,żłłż
36,ffąp,żłlb,uhpń,żłlń
37,fffą,żłłb,uhlż,żłpń
38,ffąź,łżżb,uhśp,żłlż
39,ffęb,łżbł,uhpl,żłśp
40,vvhą,łżbp,uhlx,żłpl
41,vvąp,łżbć,lżóź,żłłń
42,vvąź,łżbl,uuhł,żłfp
43,vvvą,łżłb,uuux,żłlx
44,vvęb,phżb,uuuu,łżłg
45,vhąp,phśb,uuvu,łżłp
46,vhąź,phlb,uuuf,łżłć
47,lhąp,phbł,uuhp,łżpp
48,lhąź,phbp,uuxx,łżpł
49,fphą,phbć,uuuh,łżłż
50,fpąp,phbl,uuhg,łżpń
51,fpfą,łgbł,uuhl,łżpl
52,fpąź,łgbp,uuuź,łżłń
53,gxhą,łgbć,łżóź,phlf
54,gxfą,łgbl,vuhł,phśń
55,lxhą,gbff,vuux,phgh
56,lxfą,gbhł,vuuu,phlp
57,hphą,gbśń,vuvu,phlg
58,hpąp,gbgh,vuuf,phpp
59,hpfą,gbżb,vuhp,phpł
