,variant1,variant2,variant3,variant4
0,arnk,scnd,arpa,psnd
1,arsk,scns,arnd,psns
2,arks,scnr,arns,psmm
3,arkm,psnk,armm,psnr
4,arsc,zjrk,arss,pswn
5,ryrk,zjnk,arnr,zjrt
6,aknd,zjsk,rypy,zjnd
7,akns,zjks,ryrt,zjrw
8,aknk,zjkm,ryrw,zjdr
9,aksk,zjsc,rydr,zjns
10,akss,smrk,ryrd,zjrd
11,aknr,smsk,ryzm,zjmm
12,akwn,smks,ryzd,zjrm
13,diir,smkm,ryrm,zjrs
14,dirt,smsc,ryzn,zjss
15,ditw,wknd,ryrs,zjnr
16,dipi,wkns,ryds,zjwn
17,dirw,wknk,ryzt,zjds
18,diis,wksk,psjo,smrt
19,dird,wkss,zjpy,smtw
20,diiw,wknr,zjpa,smrw
21,ditr,wkwn,zjot,smrd
22,dizm,wnsk,zjos,smtr
23,dizd,wnsc,zjow,smrm
24,diit,wdsk,zjop,smrs
25,dirm,wdsc,zjso,smss
26,diip,snsk,zjoj,wndr
27,dizn,snsc,zjoo,wnss
28,dirs,mrnk,dypy,wnds
29,diri,mrsk,dyrt,wddr
30,diiz,mrks,dyrw,wdmm
31,dizt,mrkm,dydr,wdss
32,psme,mrsc,dyrd,wdwn
33,zjde,tknd,dyzm,wdds
34,zjir,tkns,dyzd,sndr
35,zjpi,tknk,dyrm,snss
36,zjme,tksk,dyzn,snds
37,zjis,tkss,dyrs,mrnd
38,zjse,tknr,dyds,mrns
39,zjiw,tkwn,dyzt,mrmm
40,zjit,tcnd,ornd,mrss
41,zjip,tcns,orns,mrnr
42,zjri,tcnr,ormm,srnd
43,zjiz,srnk,orss,srns
44,zjky,srsk,ornr,srmm
45,dyrk,srks,orso,srss
46,ornk,srkm,ampa,srnr
47,orsk,srsc,amrt,nrnd
48,orks,nrnk,amtw,nrns
49,orkm,nrsk,amrw,nrmm
50,orsc,nrks,amrd,nrss
51,amrk,nrkm,amtr,nrnr
52,amsk,nrsc,amrm,zsnd
53,amks,pcnd,amrs,zsns
54,amkm,pcns,amss,zsmm
55,amsc,pcnr,smpy,zsnr
56,smpi,zsnk,smpa,zswn
57,smse,0,smso,0
58,smri,0,owtw,0
59,smky,0,owtr,0
60,wkso,0,owzm,0
61,nees,0,owzd,0
62,neew,0,owzn,0
63,neep,0,owzt,0
64,neee,0,oztw,0
65,owks,0,oztr,0
66,owkm,0,ozjo,0
67,adsk,0,adpa,0
68,adsc,0,addr,0
69,apnk,0,admm,0
70,apsk,0,adss,0
71,apks,0,adwn,0
72,apkm,0,adds,0
73,apsc,0,joot,0
74,wnde,0,joos,0
75,wnse,0,joow,0
76,wdde,0,joop,0
77,wdir,0,jooj,0
78,wdpi,0,jooo,0
79,wdme,0,apnd,0
80,wdis,0,aptw,0
81,wdse,0,apns,0
82,wdiw,0,aptr,0
83,wdit,0,apss,0
84,wdip,0,apnr,0
85,wdiz,0,wnso,0
86,asnk,0,wdpy,0
87,snde,0,wdpa,0
88,snse,0,wdjo,0
89,omrk,0,wdso,0
90,omsk,0,asnd,0
91,omks,0,asns,0
92,omkm,0,asmm,0
93,omsc,0,asnr,0
94,acnd,0,aswn,0
95,acns,0,snso,0
96,acnr,0,omrt,0
97,ptir,0,omtw,0
98,ptis,0,omrw,0
99,ptiw,0,omrd,0
100,ptit,0,omtr,0
101,ptip,0,omrm,0
102,ptiz,0,omrs,0
103,mrir,0,omss,0
104,mrpi,0,omso,0
105,mrme,0,mrpy,0
106,mris,0,mrpa,0
107,mrse,0,mrso,0
108,mriw,0,awpa,0
109,mrit,0,awtw,0
110,mrip,0,awtr,0
111,mriz,0,awzm,0
112,mrky,0,awzd,0
113,awks,0,awzn,0
114,awkm,0,awzt,0
115,tkso,0,zypy,0
116,zyrk,0,zyrt,0
117,srir,0,zyrw,0
118,srpi,0,zydr,0
119,srme,0,zyrd,0
120,sris,0,zyzm,0
121,srse,0,zyzd,0
122,sriw,0,zyrm,0
123,srit,0,zyzn,0
124,srip,0,zyrs,0
125,sriz,0,zyds,0
126,srky,0,zyzt,0
127,nrir,0,srpy,0
128,nrpi,0,srpa,0
129,nrme,0,srso,0
130,nris,0,nrpy,0
131,nrse,0,nrpa,0
132,nriw,0,nrso,0
133,nrit,0,zsjo,0
134,nrip,0,0,0
135,nriz,0,0,0
136,nrky,0,0,0
137,riir,0,0,0
138,rirt,0,0,0
139,ritw,0,0,0
140,ripi,0,0,0
141,rirw,0,0,0
142,riis,0,0,0
143,rird,0,0,0
144,riiw,0,0,0
145,ritr,0,0,0
146,rizm,0,0,0
147,rizd,0,0,0
148,riit,0,0,0
149,rirm,0,0,0
150,riip,0,0,0
151,rizn,0,0,0
152,rirs,0,0,0
153,riri,0,0,0
154,riiz,0,0,0
155,rizt,0,0,0
156,zsme,0,0,0
157,tiir,0,0,0
158,tirt,0,0,0
159,titw,0,0,0
160,tipi,0,0,0
161,tirw,0,0,0
162,tiis,0,0,0
163,tird,0,0,0
164,tiiw,0,0,0
165,titr,0,0,0
166,tizm,0,0,0
167,tizd,0,0,0
168,tiit,0,0,0
169,tirm,0,0,0
170,tiip,0,0,0
171,tizn,0,0,0
172,tirs,0,0,0
173,tiri,0,0,0
174,tiiz,0,0,0
175,tizt,0,0,0
