ngram	freq
ie	7162491
e^	6518550
o^	4962895
ni	4558044
^p	4029151
a^	3984040
^t	3867341
^n	3744331
^w	3167117
^m	3122649
^s	3088821
y^	3055458
^z	2765867
i^	2732784
m^	2661867
^c	2633351
ę^	2617701
sz	2444931
^j	2379616
^d	2269853
st	2247155
wi	2164133
na	2157143
je	2020764
dz	2002589
ze	2002324
cz	1987683
rz	1971039
po	1949476
z^	1932460
ci	1793704
zy	1776528
ta	1755543
ię	1744502
pr	1725690
es	1695175
to	1691792
zi	1684695
ch	1659442
za	1649833
ra	1612629
ć^	1599217
^o	1557443
si	1471361
em	1470376
^b	1439694
am	1415145
ro	1357531
ał	1337623
^k	1334423
ow	1303714
ia	1292750
ak	1266036
mi	1264325
te	1254372
j^	1254028
do	1238523
an	1182688
ko	1165597
u^	1131220
go	1128234
wa	1108947
od	1075728
ob	1073169
k^	1070804
ą^	1039157
w^	1034808
że	1024010
ła	1009557
le	1005747
ma	990334
ja	990324
^i	980200
ki	921643
mo	909154
as	907462
ej	907436
my	906752
li	899819
by	887784
t^	871383
al	871026
ac	869646
ka	865695
^r	865533
^ż	862717
er	859934
bi	849205
ś^	841977
ty	839129
eg	828278
aj	822474
os	788969
wy	773198
ar	772413
ed	759181
on	751042
en	750413
co	738549
aw	732473
^g	729110
pa	722970
ł^	686853
tr	671337
eś	666938
łe	660267
da	648601
ym	648252
ło	632089
ad	630857
ec	614788
wo	593291
la	585615
ne	574422
pi	566176
^a	549852
at	549553
ny	542898
or	540021
ys	538802
h^	534038
no	531357
ać	525915
^u	518994
ic	505966
zn	493756
oj	488080
ek	487717
oc	483797
n^	479729
sp	473508
in	472149
is	463174
yc	457480
mu	456068
oś	455735
ów	449715
br	446804
ku	445297
ił	440900
ba	438106
ce	435548
dy	432967
^l	432350
uj	428446
az	427329
ot	426889
ył	425851
tu	419769
ws	418037
om	416984
zo	406901
mn	404468
ok	388581
im	388071
ż^	387932
oż	386085
ol	383237
us	380504
tw	380064
kt	379712
c^	379583
el	373918
ją	367587
sk	367212
og	366025
ry	363392
zę	359202
d^	357538
eb	352722
śl	348408
re	347123
oz	344469
śc	327841
dn	325557
tk	321295
ić	321208
ho	320355
mó	317190
bo	304539
ąd	301575
ęd	295729
ią	294957
yś	293781
we	290948
hc	288729
ap	284454
ję	280743
zu	278214
ew	276842
de	272065
op	271777
ab	266498
et	265309
ły	263124
uc	262446
sa	260517
ca	258700
ęc	257950
ró	256255
ha	252250
ez	251915
sł	250526
ży	249650
wn	246891
yl	246854
iś	246595
yn	246420
lu	246282
dl	245970
aż	243896
kr	243572
ść	243311
^ś	239337
lk	237966
gd	237739
cy	237686
il	237394
s^	235877
yć	235146
śm	234843
ór	231533
zw	231068
ep	230297
zc	228686
bę	227832
id	224263
io	224195
uż	223886
ud	223371
ój	221047
łu	215842
yw	213479
yj	211600
tó	210283
ga	206480
ną	206433
ru	204917
pe	204652
zą	201353
cj	201312
um	197851
ut	194179
so	194134
ąc	193333
ju	191764
aś	191303
zł	191178
zr	191145
nt	190027
wd	187872
ik	187523
gł	186255
yb	184789
dr	183515
ur	182584
rd	177549
ln	176261
gr	174404
iw	173045
dę	171347
yk	169304
^f	169254
ęk	168800
eż	166894
yt	164935
zk	163539
lo	162410
du	162370
r^	161690
zm	160214
dź	159018
eć	156320
^h	155750
tn	155526
nn	153382
ża	149875
rw	147614
bu	142954
se	141412
me	140050
wc	137941
up	136243
rt	135594
zd	133785
su	132819
dk	132179
dł	131731
ź^	129693
pó	129356
be	129229
są	129084
sy	127369
wr	127131
ń^	126452
św	125256
l^	124700
ag	124439
gi	123589
nk	122944
iu	122912
oi	120447
uk	119894
wł	119877
ij	119355
yg	118169
ką	118048
gl	115244
sc	114306
gę	114277
nu	113469
tę	111414
pu	111276
oł	108061
ub	108011
kł	107513
cę	106991
wó	106873
kę	106726
żn	106578
śn	105876
it	105083
fi	103715
rę	102917
js	102602
nę	102271
jc	101309
ęt	100438
ńc	99007
sw	98874
dw	98653
jd	98347
yd	97758
oń	96514
fa	96403
yp	96041
un	94960
ób	94649
kn	93176
rc	92696
ks	90504
ig	89920
óc	89329
eń	88034
he	86938
bl	85740
ań	85597
cu	84128
lą	84042
jn	83049
tą	82913
^e	82768
kó	81981
ri	81694
uw	81415
ug	80850
rk	80439
lę	80325
zg	78990
^ł	78900
óż	77776
b^	75944
pl	75458
żo	75173
kl	74720
zb	74194
gn	73908
jm	73499
łb	73346
bą	71451
ji	70680
pł	69402
ps	69359
sn	69336
py	68644
rn	68271
au	66708
hy	64966
nd	64854
wk	64465
ns	64379
łą	63778
ul	63640
zp	63441
rs	61170
zt	61112
ół	60286
rm	60265
ól	58352
eź	58257
có	57229
ąć	56961
ńs	56604
ąt	56321
yz	56267
fo	56150
iz	56000
ęż	55374
żd	55071
łk	54933
dp	54770
nc	54397
gó	54323
ck	54142
źn	53103
iż	53080
g^	53046
ąg	52781
jś	52331
ód	52086
mę	51947
gu	51891
eł	51405
rą	51080
ąż	50992
dc	49272
hw	48395
mp	48100
hę	47961
zj	47903
łó	47050
hł	46935
ir	46822
di	46705
of	45754
lb	45735
jr	45694
óg	45562
dą	45381
ęś	44934
łn	44781
ął	44332
wu	44129
wę	43060
ge	42968
uś	42850
ęp	42277
wą	42045
hi	41467
jo	41400
wz	41061
af	40605
uz	40563
ef	40243
cą	39552
kc	39414
bó	38142
yr	37562
wt	36874
dd	36409
żk	36392
só	36147
ds	36089
pn	35674
mk	35628
bn	34920
pc	34745
ng	34454
p^	34363
bł	34333
nó	33837
uł	33682
fe	33612
óź	33206
bc	33020
ęł	32580
lc	31961
hu	31221
bk	31023
ii	30965
wp	30522
ió	29812
lw	28567
źl	28304
śr	27644
ąz	27465
sm	27158
źm	26753
ib	26283
pę	25491
jl	25420
ęs	24802
ea	24365
tł	24305
fr	24153
zl	23585
rb	23459
hr	23438
mą	23245
cn	22984
gą	22901
kw	22290
rg	22232
dj	22084
db	21931
yż	21824
ęg	21657
bs	21562
hn	21525
śp	21361
żl	21253
ęć	20924
dó	20867
ll	20323
hó	20205
żc	19997
sj	19823
ua	19768
sę	19487
kb	19287
mł	19205
jk	19158
źc	18512
uf	18375
mś	18268
źć	18267
lm	18132
łę	18125
dż	18120
ke	18066
ęz	18059
zó	17730
jw	17458
rł	17442
rp	17423
mb	17383
mr	17333
ti	17243
ai	17153
gw	16673
pt	16307
aź	16269
nf	15850
żę	15708
ęb	15659
ip	15545
pk	15337
fu	15269
ót	15132
hm	15007
^ź	14726
eu	14698
żą	14616
tc	14413
dm	14305
f^	13909
eo	13723
ls	13368
mt	13270
jp	13223
żu	12936
rż	12744
óz	12326
ók	12234
yf	12217
żs	11724
ąp	11718
ęl	11620
uć	11608
yo	11428
ós	10799
ee	10734
kż	10306
ąś	10278
aa	10252
rl	10156
th	10070
oh	9739
ms	9665
tl	9631
rć	9573
oo	9283
zs	9205
ąs	9166
jb	9098
fl	8156
lt	7873
ao	7764
