"Word"	"dlugosc"	"FreqSum"	"ContCount"	"Contextual Diversity"	"Frequency Per 1 Mln"	"Nchar"
"wś"	2	29	19	"0,0017092479"	"0,6778242105"	17
"nie"	3	1580892	11034	"0,9926232458"	"35718,918319991"	1
"się"	3	964693	10984	"0,9881252249"	"21796,4316305945"	2
"tak"	3	413914	11003	"0,9898344728"	"9352,0536028808"	3
"jak"	3	321680	11006	"0,9901043541"	"7268,1056618589"	4
"ale"	3	261817	10944	"0,9845268082"	"5915,5526380997"	4
"tym"	3	155568	10927	"0,9829974811"	"3514,9478200755"	2
"czy"	3	152915	10870	"0,9778697373"	"3455,0055657276"	4
"cię"	3	140304	10695	"0,9621266643"	"3170,0708617764"	3
"już"	3	135358	10829	"0,9741813602"	"3058,3202436064"	3
"mam"	3	134929	10837	"0,9749010435"	"3048,6273573964"	2
"dla"	3	119947	10847	"0,9758006477"	"2710,1219466759"	3
"coś"	3	118517	10777	"0,9695034185"	"2677,8123259757"	3
"pan"	3	107335	8777	"0,7895825837"	"2425,1646485844"	2
"tam"	3	96488	10751	"0,9671644476"	"2180,0860082103"	4
"być"	3	96029	10705	"0,9630262684"	"2169,7152977898"	4
"nic"	3	94806	10756	"0,9676142497"	"2142,082664142"	4
"ten"	3	86265	10798	"0,9713925873"	"1949,1061114145"	3
"jej"	3	81105	10235	"0,9207448723"	"1832,5203472096"	6
"był"	3	75720	10434	"0,9386469953"	"1710,850901426"	4
"mój"	3	71749	10455	"0,9405361641"	"1621,129570097"	7
"nas"	3	66965	10356	"0,9316300828"	"1513,0392026636"	14
"ich"	3	62985	10148	"0,9129183159"	"1423,1145240715"	19
"też"	3	60659	10309	"0,9274019431"	"1370,5605536179"	36
"kto"	3	58447	10346	"0,9307304786"	"1320,5823151642"	23
"ona"	3	49234	9320	"0,8384310903"	"1112,4225001216"	9
"hej"	3	46395	7115	"0,6400683699"	"1048,2777356686"	7
"gdy"	3	43076	8206	"0,7382151853"	"973,2877838476"	11
"nam"	3	40706	9615	"0,8649694135"	"919,7396712187"	8
"tej"	3	39788	9832	"0,884490824"	"898,9982503776"	5
"nim"	3	39694	9731	"0,8754048219"	"896,8744011847"	7
"bez"	3	39254	9835	"0,8847607053"	"886,9329794308"	11
"lat"	3	36166	8994	"0,8091039942"	"817,1622740306"	8
"mną"	3	33762	9473	"0,8521950342"	"762,8459606298"	6
"sam"	3	33311	9077	"0,8165707089"	"752,656003332"	9
"was"	3	32178	8532	"0,7675422814"	"727,0568423157"	7
"raz"	3	31920	9454	"0,8504857863"	"721,2275541055"	7
"daj"	3	29435	8657	"0,7787873336"	"665,0811153362"	7
"niż"	3	28728	8995	"0,8091939547"	"649,1070581089"	3
"kim"	3	27609	8473	"0,7622346168"	"623,8242150575"	3
"pod"	3	24936	8613	"0,7748290752"	"563,4300779026"	6
"oni"	3	24603	7552	"0,6793810723"	"555,9062291661"	7
"aby"	3	23501	5414	"0,4870456999"	"531,0074865006"	5
"cóż"	3	23433	6075	"0,5465095358"	"529,4710849568"	11
"dwa"	3	23119	7963	"0,7163548039"	"522,376524887"	8
"wie"	3	21841	8039	"0,7231917956"	"493,50121352"	5
"iść"	3	21753	7874	"0,7083483267"	"491,5129291692"	5
"you"	3	21466	843	"0,0758366319"	"485,0284108888"	6
"nią"	3	21165	7858	"0,7069089601"	"478,2275746435"	7
"ile"	3	21068	7879	"0,7087981288"	"476,0359430296"	8
"the"	3	20194	2359	"0,2122166247"	"456,2886643639"	7
"wam"	3	19950	7363	"0,6623785534"	"450,7756941185"	8
