ngram	freq
e^^^	6518550
o^^^	4962895
^^^p	4029151
a^^^	3984040
^^^t	3867341
ie^^	3746272
^^^n	3744331
^^^w	3167117
^^^m	3122649
^^^s	3088821
y^^^	3055458
^^^z	2765867
i^^^	2732784
m^^^	2661867
^^^c	2633351
ę^^^	2617701
nie^	2465786
^^^j	2379616
^^^d	2269853
^^ni	2193979
z^^^	1932460
^nie	1842710
^^po	1618396
ć^^^	1599217
^^^o	1557443
^^^b	1439694
^^je	1405882
^^^k	1334423
^^na	1321564
^^pr	1320140
to^^	1287487
^^to	1264006
j^^^	1254028
ię^^	1236843
^to^	1166330
u^^^	1131220
em^^	1096175
^^si	1081769
k^^^	1070804
ą^^^	1039157
w^^^	1034808
^^do	1034417
^^za	1033076
na^^	1018504
^^^i	980200
^się	963370
się^	962173
^jes	916802
go^^	907035
sz^^	902026
t^^^	871383
^^^r	865533
^^^ż	862717
jest	845065
ś^^^	841977
^prz	805926
^^wi	804304
am^^	782447
dzie	778239
ak^^	771192
^^ta	753994
że^^	744551
^^^g	729110
^^ja	726909
^^w^	724331
^w^^	724331
ego^	712114
^^ma	696927
^^mo	688088
ł^^^	686853
my^^	681363
^^co	678651
^^że	649216
ej^^	648934
^^cz	628545
^^mi	618105
^^ch	616418
^na^	615660
^i^^	588072
^^i^	588072
^^te	582317
^^wy	564654
^^ty	559686
^z^^	550379
^^z^	550379
^^^a	549852
co^^	548759
st^^	542864
^że^	542100
h^^^	534038
^co^	533639
^tak	531852
ch^^	530317
ać^^	524048
^^^u	518994
est^	515550
^^ci	512147
prze	497172
^^pa	495084
^^by	492176
^jak	487780
n^^^	479729
ze^^	477280
ym^^	473939
cie^	453715
zy^^	446089
le^^	444305
^^^l	432350
mi^^	430058
do^^	429474
^do^	425711
^wie	424011
tak^	413389
esz^	399587
^^dz	397969
ko^^	390799
^^ko	390492
ż^^^	387932
eś^^	381888
^dzi	381452
c^^^	379583
łem^	376045
^^ro	375700
^^st	371788
ny^^	370045
^^sp	366169
d^^^	357538
li^^	349153
przy	349050
ła^^	346502
^pow	344625
aj^^	341219
je^^	339043
^^od	337854
este	336413
ia^^	336237
ki^^	325504
ci^^	322668
^o^^	321669
^^o^	321669
ić^^	321188
jak^	319265
^^al	315092
^^mn	312231
^^ws	311540
za^^	310617
ał^^	307967
powi	307889
owie	307298
^pan	303132
ja^^	302410
zie^	300200
mnie	297053
praw	293467
dy^^	292153
ne^^	290227
ale^	287839
ka^^	286794
^chc	282784
ty^^	276881
ło^^	275623
^mni	274577
iedz	273409
^był	271459
iem^	269436
zę^^	269138
^moż	268636
^^sz	265994
by^^	265864
wied	265411
^ale	264842
iesz	263141
^^mu	260479
^^mó	260360
ją^^	257215
czy^	256888
robi	250269
ni^^	248028
^^kt	246642
^^go	245279
może	244038
^pro	243264
asz^	242740
^dob	242331
dobr	241322
ść^^	240313
edzi	239481
^^^ś	239337
s^^^	235877
yć^^	234910
ów^^	234210
^^pi	231115
^czy	230973
^^tu	230620
^mam	230127
anie	228250
ję^^	227316
tu^^	226683
^mi^	226461
bie^	224780
osta	222119
wszy	221232
dzia	217173
^^zn	216769
isz^	216390
^wsz	215773
^^ra	215729
odzi	214945
^^dl	213119
^dla	213106
tem^	212435
im^^	211889
ałem	211594
^^bę	211046
nia^	210781
^będ	209973
ku^^	208826
szys	208818
no^^	204494
oś^^	204111
^pra	204091
^^tr	200649
^^ki	197325
zyst	193711
mu^^	193174
^^da	191660
łeś^	191572
ych^	190834
ział	190679
^mus	190574
^za^	190057
^^tw	189496
ma^^	187885
^^no	187603
ra^^	187406
szcz	186123
steś	185547
tego	183093
rze^	182722
iej^	180921
^^zr	180598
ta^^	180526
wa^^	180214
chod	179968
łam^	179322
oże^	178970
^pod	178070
az^^	178059
^^ba	177901
pros	177480
^^zo	175881
^sta	175584
śmy^	175396
^^gd	174839
ry^^	173956
emy^	173423
