ngram	freq
e^^	6518550
o^^	4962895
^^p	4029151
a^^	3984040
^^t	3867341
ie^	3746272
^^n	3744331
^^w	3167117
^^m	3122649
^^s	3088821
y^^	3055458
nie	3050989
^^z	2765867
i^^	2732784
m^^	2661867
^^c	2633351
ę^^	2617701
^^j	2379616
^^d	2269853
^ni	2193979
z^^	1932460
^po	1618396
ć^^	1599217
dzi	1564566
^^o	1557443
^^b	1439694
^je	1405882
^^k	1334423
^na	1321564
^pr	1320140
to^	1287487
^to	1264006
j^^	1254028
ię^	1236843
u^^	1131220
em^	1096175
^si	1081769
k^^	1070804
ą^^	1039157
w^^	1034808
^do	1034417
^za	1033076
na^	1018504
się	1000950
jes	989817
^^i	980200
wie	976890
rze	969137
est	927714
go^	907035
sz^	902026
prz	872181
t^^	871383
^^r	865533
^^ż	862717
ś^^	841977
zie	836932
^wi	804304
am^	782447
ak^	771192
^ta	753994
że^	744551
ego	736757
^^g	729110
^ja	726909
^w^	724331
cie	722945
^ma	696927
^mo	688088
ł^^	686853
my^	681363
^co	678651
^że	649216
ej^	648934
czy	645180
^cz	628545
^mi	618105
^ch	616418
esz	604389
rzy	603073
^i^	588072
^te	582317
^wy	564654
^ty	559686
tak	555488
^z^	550379
^^a	549852
sta	549639
co^	548759
st^	542864
h^^	534038
ch^	530317
ać^	524048
cze	519682
^^u	518994
^ci	512147
ani	501093
^pa	495084
^by	492176
jak	489449
iał	482990
n^^	479729
ze^	477280
ym^	473939
owi	458447
zy^	446089
pra	445133
le^	444305
^^l	432350
mi^	430058
do^	429474
owa	428153
asz	425368
ied	424748
ale	422039
obi	421859
pow	400509
^dz	397969
iem	396880
ko^	390799
^ko	390492
ż^^	387932
kie	385051
ste	382678
eś^	381888
c^^	379583
szy	378611
łem	376669
^ro	375700
mie	373858
^st	371788
ny^	370045
^sp	366169
bie	363290
d^^	357538
ałe	350654
li^	349153
ła^	346502
ała	345925
aj^	341219
je^	339043
^od	337854
ost	337706
pan	336529
ia^	336237
eni	333466
mni	329264
ści	327800
ies	326456
ki^	325504
zys	323643
ci^	322668
^o^	321669
ić^	321188
ier	319881
iej	318908
^al	315092
edz	314267
trz	313026
^mn	312231
^ws	311540
acz	311049
za^	310617
rob	308984
ał^	307967
nia	305718
pro	303866
raw	302992
ja^	302410
wsz	301683
dob	293368
dy^	292153
cho	291743
ne^	290227
oże	290206
chc	288726
ka^	286794
moż	283533
iec	279459
pie	279105
był	277813
ty^	276881
ło^	275623
obr	274950
odz	274558
zę^	269138
^sz	265994
by^	265864
^mu	260479
^mó	260360
ją^	257215
tem	252852
ni^	248028
raz	247572
^kt	246642
isz	246555
yst	246478
zna	246226
^go	245279
ych	241772
ść^	240313
sze	239552
^^ś	239337
mam	237148
s^^	235877
yć^	234910
ów^	234210
^pi	231115
^tu	230620
ję^	227316
tu^	226683
awi	226586
wię	225593
ami	221644
era	220721
zia	218788
ien	218281
dla	216955
^zn	216769
^ra	215729
będ	215433
łam	214238
aki	213333
oje	213193
^dl	213119
im^	211889
^bę	211046
wia	209574
sza	208887
ku^	208826
ędz	208422
pod	206447
rac	206367
cha	206210
cia	205558
roz	204968
no^	204494
oś^	204111
śli	203230
str	201226
ros	200710
^tr	200649
mus	200618
nic	199937
cza	199577
ter	198974
iel	197521
^ki	197325
szc	194674
mu^	193174
^da	191660
łeś	191572
two	189998
^tw	189496
nas	189460
zcz	189162
ma^	187885
^no	187603
och	187569
ra^	187406
teś	186264
teg	184359
ięc	183908
bra	182011
hod	180864
ecz	180844
^zr	180598
ta^	180526
wa^	180214
zeg	179361
osz	179062
uje	178212
emy	178105
az^	178059
^ba	177901
zas	176911
tyl	175952
^zo	175881
woj	175752
stk	175607
śmy	175396
szę	175243
^gd	174839
ry^	173956
awd	173547
tym	172185
yśl	172058
^on	171736
mów	171309
dę^	170818
^my	170458
zam	170059
eci	169469
^^f	169254
cię	169157
